Contenu,Titre de la vidéo,Heure de publication de la vidéo,Clics sur des éléments d'écran de fin,Vues provenant de la playlist,Durée de visionnage de la playlist (heures),Commentaires ajoutés,Partages,Je n'aime pas,J'aime,"% ""J'aime"" (%)",Nombre d'abonnés perdus,Pourcentage moyen de vidéo regardé (%),Durée moyenne d'une vue,Vues,Durée de visionnage (heures),Abonnés,Impressions,Taux de clics par impression (%)
Total,,,85,3034,182.1807,138,340,19,1216,98.46,81,19.61,0:03:20,31308,1747.8523,1002,835679,2.31
 -GAxt5YR_Rc,Base R - 2.1 Code et environnement dans R et Rstudio,"Jun 30, 2022",6,150,11.5629,0,2,0,7,100,0,29.54,0:04:21,407,29.6184,5,4367,5.61
D7RbHP6uiGk,Bing AI - Merci pour les 500 abonnements!,"Dec 7, 2023",6,4,0.5884,7,71,0,174,100,2,26.98,0:03:07,4723,246.3666,156,255543,1.36
jRpefZJKANY,"Les fondamentaux en python 0: installer python, jupyter notebook, jupyterlab et spyder","Jul 21, 2022",5,7,0.1254,1,2,0,3,100,0,62.2,0:01:58,182,5.9744,3,3311,3.65
X9P4qbFKKyg,Base Vim 1: Coder plus rapidement,"Jan 18, 2023",4,38,1.1621,3,0,0,10,100,0,38.38,0:01:39,128,3.534,4,2183,2.84
hWsmaR3Nh6w,Base R - 1. Comment télécharger et installer R et RStudio,"Feb 16, 2022",4,217,6.6211,1,8,0,12,100,0,25.36,0:02:00,419,14.0524,6,3220,4.69
p7HWXnps9So,Git et GitHub Desktop installation,"Dec 28, 2023",4,6,0.2707,0,4,0,12,100,0,31.96,0:03:00,125,6.2815,2,4765,1.68
Czuu-2avkTo,"Alternatives à RStudio: Rterm, Radian, Sublime text et VS Code","Sep 14, 2022",3,230,4.3702,1,4,0,7,100,0,18.83,0:01:32,311,7.9546,4,5191,1.02
X3kObIzGH2s,Terminal 1: Introduction,"Apr 27, 2022",3,69,0.4699,0,1,0,4,100,0,47.08,0:00:28,106,0.8456,1,634,3.94
ciZGQ8purPU,WeData - Planning de la chaîne et sondage,"Oct 12, 2023",3,,,1,0,0,7,100,0,52.99,0:01:39,105,2.8902,1,3082,1.72
ztQPU9deNOw,"RStudio à votre image: thèmes, raccourcis et techniques d'optimisation","Jun 15, 2023",3,12,0.6791,4,8,0,19,100,0,33.7,0:03:32,484,28.6312,6,11141,2.94
15O0PqTYJVw,R Statistique - 5. Nettoyer les données avec R,"Oct 26, 2022",2,92,4.8278,1,16,1,13,92.86,0,24.38,0:02:41,987,44.2508,19,10875,5.66
20xFOvJlZpI,"Base R - 3.1 Opérations dans R, les types","Jul 1, 2022",2,96,7.3034,0,2,0,5,100,0,22.08,0:04:00,175,11.6754,2,1835,5.72
TKJulsC08sw,Maîtrisez R avec ces pratiques essentielles pour un code propre et reproductible,"May 18, 2023",2,11,0.3054,0,39,2,95,97.94,0,18.31,0:03:41,2868,176.2246,166,66516,3.04
W3tZfnJdV8c,R Statistiques - 6. Analyse exploratoire partie (1) - Aperçu,"Mar 23, 2023",2,76,7.1589,0,6,0,17,100,0,16.87,0:03:38,514,31.1481,13,8214,4.25
XS04az9XP_c,R Statistique - 4. Importer des données avec R,"Oct 12, 2022",2,84,7.1806,2,2,0,6,100,0,22.55,0:03:53,294,19.0934,4,4696,3.49
YaT1ksk--xc,Hygiène de code 1: introduction,"Aug 10, 2022",2,53,1.9725,0,0,0,2,100,0,25.29,0:01:59,83,2.764,0,769,3.51
c4WkVrs1rKU,R Statistique - 1. Plan de recherche et préparation des données,"Aug 3, 2022",2,320,17.6833,0,9,0,5,100,0,31.43,0:03:05,563,28.9992,8,3178,6.83
j-K_mJsI24M,Base R - 2.2 Code et environnement dans R et Rstudio (2),"Jul 1, 2022",2,37,1.7248,0,0,0,2,100,0,36.38,0:02:48,82,3.8371,0,1176,4.08
ruzC6_Apd4s,Installation Nim : Guide débutant pour programmer avec Nim,"Feb 7, 2024",2,2,0.0651,2,2,0,14,100,0,20.79,0:02:50,264,12.4696,8,8481,2.2
tUYHG-JDukI,R statistique - 2. Statistique en bref avec R,"Aug 31, 2022",2,167,19.316,2,10,0,19,100,1,21.58,0:04:09,629,43.515,9,9056,4.02
2nR4HyR3e24,"Les fondamentaux en python 7: tuples, ranges et dictionnaires","Dec 14, 2022",1,5,0.0255,0,0,0,3,100,0,31.29,0:04:21,25,1.8144,0,1349,1.11
2xkgzA-sbA4,R statistique - 3. Étapes de l'analyse statistique,"Sep 28, 2022",1,89,4.4106,0,8,1,6,85.71,0,28.91,0:02:21,425,16.7214,3,4825,4.66
2yUhcEq8ay0,Terminal 2: Terminologie,"May 4, 2022",1,34,1.3159,0,0,0,2,100,0,42.95,0:02:07,58,2.0481,0,687,4.8
4kMfzZl97K8,1. Hygiène de code: le nommage (old),"Aug 4, 2022",1,2,0.0163,0,0,0,0,,0,3.71,0:00:23,12,0.0788,0,83,9.64
AaUxoD43JpA,Installer Node.js : Tutoriel facile pour débutants,"Feb 1, 2024",1,1,0.002,0,0,0,7,100,0,34.94,0:02:23,46,1.8348,0,2034,1.62
DczX21ZxbpA,Hygiène de code 2:  convention de nommage,"Aug 10, 2022",1,13,0.7522,0,1,0,1,100,0,34.34,0:02:59,46,2.2992,0,968,2.89
K4r-W3-cUOk,Hygiène de code 3: responsabilité unique,"Aug 10, 2022",1,6,0.6679,0,0,0,0,,0,17.41,0:03:56,27,1.7718,0,1060,1.6
KeBin-DcUNU,"Base R - 3.2 Opérations dans R, les vecteurs","Jul 2, 2022",1,48,3.4498,0,1,0,3,100,0,22.55,0:03:29,100,5.8125,0,1461,4.38
MI7wVDZsLXQ,Introduction au Software Engineering,"Jan 11, 2023",1,18,0.4294,1,3,0,13,100,0,24.6,0:01:24,131,3.061,6,4190,1.5
N0HOJX-rrEs,ggplot2: Maîtrisez la Grammaire des Graphiques dans R - Partie 1,"Feb 15, 2024",1,,,2,4,0,14,100,1,16.63,0:04:09,195,13.5203,3,6073,2.09
O8pPksUeZL8,41 Packages R à Connaître absolument en 2023,"May 11, 2023",1,8,0.5304,1,4,0,15,100,0,18.76,0:07:09,307,36.6262,7,6969,3.03
TjZCxllqk4o,"Base R - 3.3 Opérations dans R, les listes","Jul 6, 2022",1,73,6.1602,0,0,0,3,100,0,22.95,0:04:38,116,8.962,0,1526,4.52
ay1LCLjHiOw,HEP - 2.  Web scraper (1),"Feb 18, 2022",1,8,0.6483,0,0,0,2,100,0,19.15,0:02:47,46,2.1383,0,663,3.62
gUS5cdgihAs,Installer Julia : Guide complet pour débutants en programmation,"Jan 18, 2024",1,4,0.0687,1,2,0,11,100,1,35.02,0:02:44,129,5.8978,0,3026,3.07
he06JdlarzM,Les fondamentaux en python 3: les listes,"Nov 16, 2022",1,8,0.5622,1,0,0,1,100,0,20.4,0:03:10,46,2.4293,0,1679,1.73
laC0Y7WxcWY,Le shell de données moderne Nushell,"Mar 9, 2023",1,29,3.0003,1,3,0,15,100,0,25.93,0:06:19,266,28.0158,5,5447,2.44
lep7AjaEaes,Rmarkdown et Quarto en bref,"Oct 26, 2023",1,8,0.6938,4,8,0,21,100,0,38.2,0:05:38,397,37.3259,9,7832,3.18
nv4Uh4X2brk,Elixir vs un vrai ignorant,"Jan 4, 2024",1,,,2,2,0,12,100,0,6.35,0:01:32,460,11.8429,9,12808,3.11
nvvmpjCtj5M,Vous avez dit sans souris? partie 3,"Dec 21, 2023",1,3,0.1466,0,0,0,4,100,0,11.77,0:03:06,68,3.5208,0,1859,2.26
o-a7EPbZ1lM,Scala vs un vrai ignorant,"Oct 5, 2023",1,2,0.238,2,6,1,16,94.12,0,17.7,0:02:30,379,15.8062,9,7837,2.72
r4cAGYUfKA4,HEP - 1. Présentation du projet,"Feb 16, 2022",1,13,0.2427,0,1,0,4,100,0,26.04,0:00:57,73,1.1671,2,499,7.21
tKzolveZgvM,Tidyverse en bref (1) - dplyr,"Jan 4, 2023",1,70,7.2429,4,12,0,20,100,0,17.6,0:06:23,889,94.7735,16,18417,2.69
